,cost_from_node,num_moves,nodes_expanded,horizontal_distance,vertical_distance,euclidean_distance
0,-174,1,36514,0,0,0.0
1,-347,2,36514,1,0,1.0
2,-519,3,36514,1,0,1.0
3,-689,4,36514,1,1,1.4142135623730951
4,-857,5,36514,1,2,2.23606797749979
5,-1022,6,36514,1,3,3.1622776601683795
6,-1182,7,36514,1,4,4.123105625617661
7,-1339,8,36514,1,5,5.0990195135927845
8,-1493,9,36514,1,6,6.082762530298219
9,-1644,10,36514,1,7,7.0710678118654755
10,-1794,11,36514,1,8,8.06225774829855
11,-1937,12,36514,1,9,9.055385138137417
12,-2077,13,36514,1,10,10.04987562112089
13,-2213,14,36514,1,11,11.045361017187261
14,-2346,15,36514,1,12,12.041594578792296
15,-2476,16,36514,1,13,13.038404810405298
16,-2603,17,36514,1,14,14.035668847618199
17,-2729,18,36514,1,15,15.033296378372908
18,-2852,19,36514,1,16,16.0312195418814
19,-2974,20,36514,1,17,17.029386365926403
20,-3094,21,36514,1,18,18.027756377319946
21,-3212,22,36514,1,19,19.026297590440446
22,-3327,23,36514,1,20,20.024984394500787
23,-3440,24,36514,1,21,21.02379604162864
24,-3550,25,36514,1,22,22.02271554554524
25,-3659,26,36514,1,22,22.02271554554524
26,-3767,27,36514,0,22,22.0
27,-3872,28,36514,1,22,22.02271554554524
28,-3976,29,36514,2,22,22.090722034374522
29,-4079,30,36514,2,22,22.090722034374522
30,-4180,31,36514,2,23,23.08679276123039
31,-4278,32,36514,2,24,24.08318915758459
32,-4372,33,36514,2,25,25.079872407968907
33,-4463,34,36514,2,26,26.076809620810597
34,-4552,35,36514,2,27,27.073972741361768
35,-4640,36,36514,2,28,28.071337695236398
36,-4725,37,36514,2,29,29.068883707497267
37,-4808,38,36514,2,30,30.066592756745816
38,-4890,39,36514,2,31,31.064449134018133
39,-4969,40,36514,2,32,32.0624390837628
40,-5044,41,36514,2,33,33.06055050963308
41,-5116,42,36514,2,34,34.058772731852805
42,-5183,43,36514,2,35,35.05709628591621
43,-5248,44,36514,2,36,36.05551275463989
44,-5310,45,36514,2,37,37.05401462729781
45,-5369,46,36514,2,38,38.05259518088089
46,-5424,47,36514,2,39,39.05124837953327
47,-5476,48,36514,2,40,40.049968789001575
48,-5525,49,36514,2,41,41.048751503547585
49,-5571,50,36514,2,42,42.04759208325728
50,-5613,51,36514,2,43,43.04648650006177
51,-5652,52,36514,2,44,44.04543109109048
52,-5688,53,36514,2,45,45.044422518220834
53,-5723,54,36514,2,46,46.04345773288535
54,-5755,55,36514,2,47,47.042533945356304
55,-5785,56,36514,2,48,48.041648597857254
56,-5812,57,36514,2,49,49.040799340956916
57,-5838,58,36514,2,50,50.039984012787215
58,-5863,59,36514,2,51,51.03920062069938
59,-5886,60,36514,2,52,52.03844732503075
60,-5908,61,36514,2,53,53.03772242470448
61,-5928,62,36514,2,53,53.03772242470448
62,-5944,63,36514,3,53,53.08483775994799
63,-5958,64,36514,3,53,53.08483775994799
64,-5969,65,36514,3,54,54.08326913195984
65,-5977,66,36514,3,55,55.08175741568164
66,-5983,67,36514,3,56,56.08029957123981
67,-5988,68,36514,3,57,57.07889277132134
68,-5990,69,36514,3,58,58.077534382926416
69,-5991,70,36514,3,58,58.077534382926416
70,-418,1,205854,0,0,0.0
71,-835,2,205854,1,0,1.0
72,-1251,3,205854,1,0,1.0
73,-1665,4,205854,1,1,1.4142135623730951
74,-2077,5,205854,1,2,2.23606797749979
75,-2487,6,205854,1,3,3.1622776601683795
76,-2894,7,205854,1,4,4.123105625617661
77,-3298,8,205854,1,5,5.0990195135927845
78,-3699,9,205854,1,6,6.082762530298219
79,-4095,10,205854,1,7,7.0710678118654755
80,-4488,11,205854,1,8,8.06225774829855
81,-4880,12,205854,1,9,9.055385138137417
82,-5270,13,205854,1,10,10.04987562112089
83,-5659,14,205854,1,10,10.04987562112089
84,-6047,15,205854,0,10,10.0
85,-6434,16,205854,0,10,10.0
86,-6820,17,205854,0,11,11.0
87,-7205,18,205854,0,11,11.0
88,-7589,19,205854,1,11,11.045361017187261
89,-7970,20,205854,2,11,11.180339887498949
90,-8350,21,205854,3,11,11.40175425099138
91,-8727,22,205854,4,11,11.704699910719626
92,-9103,23,205854,4,11,11.704699910719626
93,-9477,24,205854,4,12,12.649110640673518
94,-9847,25,205854,4,13,13.601470508735444
95,-10214,26,205854,4,14,14.560219778561036
96,-10580,27,205854,4,15,15.524174696260024
97,-10944,28,205854,4,15,15.524174696260024
98,-11305,29,205854,5,15,15.811388300841896
99,-11665,30,205854,6,15,16.15549442140351
100,-12022,31,205854,7,15,16.55294535724685
101,-12377,32,205854,8,15,17.0
102,-12729,33,205854,9,15,17.4928556845359
103,-13078,34,205854,10,15,18.027756377319946
104,-13424,35,205854,11,15,18.601075237738275
105,-13768,36,205854,12,15,19.209372712298546
106,-14109,37,205854,13,15,19.849433241279208
107,-14447,38,205854,14,15,20.518284528683193
108,-14782,39,205854,15,15,21.213203435596427
109,-15113,40,205854,16,15,21.93171219946131
110,-15442,41,205854,17,15,22.67156809750927
111,-15769,42,205854,18,15,23.430749027719962
112,-16095,43,205854,19,15,24.20743687382041
113,-16417,44,205854,20,15,25.0
114,-16736,45,205854,21,15,25.80697580112788
115,-17054,46,205854,22,15,26.627053911388696
116,-17370,47,205854,23,15,27.459060435491963
117,-17683,48,205854,24,15,28.30194339616981
118,-17995,49,205854,24,15,28.30194339616981
119,-18306,50,205854,24,16,28.844410203711913
120,-18614,51,205854,24,17,29.410882339705484
121,-18920,52,205854,24,17,29.410882339705484
122,-19223,53,205854,25,17,30.23243291566195
123,-19524,54,205854,26,17,31.064449134018133
124,-19823,55,205854,27,17,31.906112267087632
125,-20121,56,205854,27,17,31.906112267087632
126,-20418,57,205854,27,18,32.449961479175904
127,-20714,58,205854,27,18,32.449961479175904
128,-21008,59,205854,28,18,33.28663395418648
129,-21299,60,205854,29,18,34.132096331752024
130,-21587,61,205854,30,18,34.9857113690718
131,-21872,62,205854,31,18,35.84689665786984
132,-22153,63,205854,32,18,36.71511950137164
133,-22433,64,205854,33,18,37.589892258425
134,-22711,65,205854,34,18,38.47076812334269
135,-22984,66,205854,35,18,39.35733730830886
136,-23254,67,205854,36,18,40.24922359499622
137,-23523,68,205854,37,18,41.14608122288197
138,-23791,69,205854,37,18,41.14608122288197
139,-24058,70,205854,37,19,41.593268686170845
140,-24324,71,205854,37,19,41.593268686170845
141,-24589,72,205854,38,19,42.485291572496
142,-24853,73,205854,39,19,43.382023926967726
143,-25114,74,205854,40,19,44.28317965096906
144,-25373,75,205854,41,19,45.18849411078001
145,-25629,76,205854,42,19,46.09772228646444
146,-25883,77,205854,43,19,47.01063709417264
147,-26135,78,205854,44,19,47.92702786528704
148,-26386,79,205854,44,19,47.92702786528704
149,-26635,80,205854,44,20,48.33218389437829
150,-26883,81,205854,44,21,48.75448697299562
151,-27130,82,205854,44,21,48.75448697299562
152,-27375,83,205854,45,21,49.658836071740545
153,-27617,84,205854,46,21,50.566787519082126
154,-27857,85,205854,47,21,51.478150704935004
155,-28094,86,205854,48,21,52.392747589718944
156,-28328,87,205854,49,21,53.31041174104736
157,-28561,88,205854,50,21,54.230987451824994
158,-28793,89,205854,50,21,54.230987451824994
159,-29024,90,205854,50,22,54.62600113499065
160,-29252,91,205854,50,23,55.036351623268054
161,-29477,92,205854,50,24,55.46169849544819
162,-29699,93,205854,50,25,55.90169943749474
163,-29919,94,205854,50,26,56.356011214421486
164,-30137,95,205854,50,27,56.824290580701486
165,-30352,96,205854,50,28,57.30619512757761
166,-30563,97,205854,50,29,57.8013840664737
167,-30771,98,205854,50,30,58.309518948453004
168,-30977,99,205854,50,31,58.83026432033091
169,-31182,100,205854,50,32,59.36328831862332
170,-31385,101,205854,50,33,59.90826320300064
171,-31585,102,205854,50,34,60.4648658313239
172,-31782,103,205854,50,35,61.032778078668514
173,-31978,104,205854,50,35,61.032778078668514
174,-32172,105,205854,51,35,61.85466837676846
175,-32364,106,205854,52,35,62.68173577685928
176,-32554,107,205854,53,35,63.51377803280167
177,-32741,108,205854,54,35,64.35060217278468
178,-32925,109,205854,55,35,65.19202405202648
179,-33108,110,205854,55,35,65.19202405202648
180,-33290,111,205854,55,36,65.73431371817918
181,-33471,112,205854,55,37,66.2872536767062
182,-33649,113,205854,55,38,66.85057965343307
183,-33823,114,205854,55,39,67.42403132415029
184,-33996,115,205854,55,40,68.00735254367721
185,-34168,116,205854,55,40,68.00735254367721
186,-34339,117,205854,56,40,68.81860213634101
