,final_score,num_moves,nodes_expanded,horizontal_distance,vertical_distance,euclidean_distance
0,-460,238,321599,162,49,169.24833824885843
1,-309,185,249195,108,42,115.8792474949678
2,-124,98,65206,58,23,62.39390995922599
3,-140,100,76667,77,11,77.78174593052023
4,-43,53,21735,42,6,42.42640687119285
5,-461,248,355831,57,154,164.21023110634732
6,-165,125,103596,29,76,81.34494452638098
7,-144,93,70275,79,6,79.22752047110903
8,-46,63,28861,38,12,39.84971769034255
9,-344,203,327417,69,100,121.49485585818027
10,-401,219,321176,39,142,147.2582765076381
11,-46,68,30034,39,15,41.78516483155236
12,-208,131,155321,84,32,89.88882021697692
13,-649,348,570843,166,127,209.0095691589263
14,-307,185,236800,73,84,111.28791488746656
15,-74,62,39808,54,2,54.037024344425184
16,-53,54,29889,3,45,45.09988913511872
17,-307,179,227814,20,135,136.4734406395618
18,-444,249,294837,56,154,163.86579875007476
19,-344,210,256627,103,68,123.42204017111368
20,-462,257,436036,121,97,155.08062419270823
21,-384,219,287300,126,62,140.42791745233566
22,-116,95,52184,11,70,70.8590149522275
23,-183,122,124592,59,44,73.60027173862879
24,-149,102,96648,74,10,74.67261881037788
25,36,32,3163,16,9,18.35755975068582
26,-212,133,121602,23,89,91.92388155425118
27,-250,145,178423,111,12,111.64676439557037
28,-95,90,59085,28,47,54.70831746635972
29,-194,115,98148,94,4,94.08506789071261
30,-82,69,45018,4,55,55.14526271584895
31,-398,218,245891,122,62,136.85028315644803
32,-59,72,35841,23,37,43.56604182158393
33,-61,61,35486,9,46,46.87216658103186
34,-151,107,89141,18,71,73.24616030891995
35,-22,50,17856,3,42,42.1070065428546
36,-342,191,235507,131,36,135.85654198455074
37,-212,129,99056,103,9,103.39245620450265
38,-126,108,73693,38,47,60.440052945046304
39,4,45,11779,28,9,29.410882339705484
40,-368,212,305254,67,114,132.23085872821065
41,-261,165,200343,82,60,101.6070863670443
42,-211,130,152084,23,86,89.02246907382428
43,-64,67,40154,27,31,41.10960958218893
44,-54,69,35459,31,28,41.773197148410844
45,-373,232,233774,127,60,140.45995870709916
46,-651,352,561815,177,115,211.0781845667619
47,-135,113,82879,33,59,67.60177512462228
48,-5,42,13223,32,4,32.2490309931942
49,-50,69,32032,40,11,41.48493702538308
50,-307,173,274425,52,97,110.05907504608605
51,-240,119,187281,4,106,106.07544484940895
52,-204,137,147042,27,90,93.96275858019496
53,-208,127,136395,7,97,97.25224933131366
54,-488,275,419072,74,153,169.95587662684687
55,-62,65,34554,50,7,50.48762224545735
56,-444,251,390434,78,134,155.04837954651444
57,-143,115,88449,73,19,75.43208866258443
58,-221,149,114622,88,41,97.082439194738
59,46,19,2951,8,8,11.313708498984761
60,-136,104,64038,33,55,64.1404708432983
61,-13,42,15392,31,6,31.575306807693888
62,-348,216,317124,82,95,125.49501982150527
63,-356,207,245632,76,102,127.20062892926276
64,-502,290,528914,101,142,174.25555945220228
65,-281,176,164017,71,76,104.00480758118829
66,-149,115,72928,58,37,68.79680225126747
67,-559,315,518983,164,98,191.049731745428
68,-31,56,25187,14,31,34.0147027033899
69,-113,98,55574,24,55,60.00833275470999
70,-9,51,15000,34,7,34.713109915419565
71,-311,191,249303,93,66,114.03946685248927
72,-203,134,147171,24,89,92.17917335276988
73,-285,154,178100,118,14,118.82760622010359
74,-34,55,16435,5,40,40.311288741492746
